"book_name","editor","org_name","publisher","publish_date","period","edu_level","category"
"金属切削加工及装备","吴拓","广东轻工职业技术学院","机械工业出版社",,"十一五","本科",
"焊接生产管理与检测","戴建树","广西机电职业技术学院","机械工业出版社",,"十一五","本科",
"汽车美容装饰与钣金修复","周燕","广西交通职业技术学院","机械工业出版社",,"十一五","本科",
"机械工程学","丁树模","广州大学松田学院","机械工业出版社",,"十一五","本科",
"机械制造技术","王明耀","河北机电职业技术学院","机械工业出版社",,"十一五","本科",
"机械CAD/CAM","赵国增","河北机电职业技术学院","机械工业出版社",,"十一五","本科",
"计算机辅助绘图与设计—AutoCAD2006","赵国增","河北机电职业技术学院","机械工业出版社",,"十一五","本科",
"计算机辅助绘图与设计--AutoCAD2006上机指导","赵国增","河北机电职业技术学院","机械工业出版社",,"十一五","本科",
"机械设计基础","李威、穆玺清","河北农业大学、兰州工业高等专科学院","机械工业出版社",,"十一五","本科",
"工程材料及成型工艺基础","杨慧智","河南工业大学","机械工业出版社",,"十一五","本科",
"参数化机械设计","秦汝明","河南工业大学","机械工业出版社",,"十一五","本科",
"现代机械设计图学","赵艳霞","河南工业大学","机械工业出版社",,"十一五","本科",
"电工电子技术基础实训","徐咏冬","河南工业大学","机械工业出版社",,"十一五","本科",
"机械制造基础与实训","赵玉奇","河南工业大学","机械工业出版社",,"十一五","本科",
"传感器及应用（第2版）","王煜东","河南工业职业技术学院","机械工业出版社",,"十一五","本科",
"机械制造基础（第2版）","苏建修","河南科技学院","机械工业出版社",,"十一五","本科",
"机械制图","刘小年","湖南工程学院","机械工业出版社",,"十一五","本科",
"机械制造基础","肖智清","湖南工业职业技术学院","机械工业出版社",,"十一五","本科",
"三维CAD/CAM—MasterCAM应用","张导成","湖南网络工程职业学院","机械工业出版社",,"十一五","本科",
"公差配合与技术测量","徐茂功","济南职业学院","机械工业出版社",,"十一五","本科",
"机械制造工艺学","郑修本","江南大学","机械工业出版社",,"十一五","本科",
"电工与电子技术基础（第2版）","周元兴","江苏信息职业技术学院","机械工业出版社",,"十一五","本科",
"AutoCAD（中文版）机械制图与实训教程","王谟金","江西工业工程职业技术学院","机械工业出版社",,"十一五","本科",
"机械制造基础","孙学强","昆明大学","机械工业出版社",,"十一五","本科",
"电子技术","陈瑞","兰州工业高等专科学校","机械工业出版社",,"十一五","本科",
"工程制图","张萌克","辽宁科技学院","机械工业出版社",,"十一五","本科",
"ＡＵＴＯＣＡＤ绘图实训教程","胡建生","辽宁石化职业技术学院","机械工业出版社",,"十一五","本科",
"机械创新设计","罗绍新","南京工程学院","机械工业出版社",,"十一五","本科",
"机械设计基础","李海萍","南京工业职业技术学院","机械工业出版社",,"十一五","本科",
"工程材料及成形技术","卢志文","南阳理工学院","机械工业出版社",,"十一五","本科",
"机械设计基础","庞兴华","南洋理工学院","机械工业出版社",,"十一五","本科",
"机械设计基础","张久成","陕西工业职业技术学院","机械工业出版社",,"十一五","本科",
"热加工专业英语","王晓江","陕西工业职业技术学院","机械工业出版社",,"十一五","本科",
"机械CAD-Pro/E应用及开发","刘锡峰","陕西工业职业技术学院","机械工业出版社",,"十一五","本科",
"机械加工设备","张普礼","陕西工业职业技术学院","机械工业出版社",,"十一五","本科",
"先进制造技术","赵云龙","陕西工业职业技术学院","机械工业出版社",,"十一五","本科",
"铸造工艺及设备","曹瑜强","陕西工业职业技术学院","机械工业出版社",,"十一五","本科",
"模具设计与制造专业英语","王晓江","陕西工业职业技术学院","机械工业出版社",,"十一五","本科",
"工程力学","刘思俊","陕西工业职业技术学院","机械工业出版社",,"十一五","本科",
"设计制图","袁和法","上海第二工业大学","机械工业出版社",,"十一五","本科",
"电子技术实验与实训","王海群","上海电机学院","机械工业出版社",,"十一五","本科",
"机械工程基础","李培根","上海电机学院","机械工业出版社",,"十一五","本科",
"机械工程材料","朱莉、王运炎","上海理工大学","机械工业出版社",,"十一五","本科",
"金属切削原理与刀具","陆剑中","上海理工大学","机械工业出版社",,"十一五","本科",
"构形基础与机械制图","管巧娟","深圳职业技术学院","机械工业出版社",,"十一五","本科",
"工程识图基础与CAD","尚久明","沈阳建筑大学","机械工业出版社",,"十一五","本科",
"焊接方法与设备","雷世明","四川工程职业技术学院","机械工业出版社",,"十一五","本科",
"机械设计基础","柴鹏飞","太原理工大学长治学院","机械工业出版社",,"十一五","本科",
"数控机床实训","何四平","天津职业大学","机械工业出版社",,"十一五","本科",
"AutoCAD2005机械制图","孙燕华","无锡职业技术学院","机械工业出版社",,"十一五","本科",
"工程力学","吴建生","无锡职业技术学院","机械工业出版社",,"十一五","本科",
"工程制图","李俊武","武汉船舶职业技术学校","机械工业出版社",,"十一五","本科",
"机械设计基础","陈庭吉","武汉船舶职业技术学院","机械工业出版社",,"十一五","本科",
"数控加工技术","姚新","武汉船舶职业技术学院","机械工业出版社",,"十一五","本科",
"数控机床原理及应用","何伟","武汉交通职业学院","机械工业出版社",,"十一五","本科",
"电工电子技术及应用（第2版）","申凤琴","西安理工大学","机械工业出版社",,"十一五","本科",
"数控加工技术综合实训","关雄飞","西安理工大学","机械工业出版社",,"十一五","本科",
"模具价格估算","刘航","西安理工大学","机械工业出版社",,"十一五","本科",
"模具钳工技术与实训","殷铖","西安理工大学","机械工业出版社",,"十一五","本科",
"电工电子技术基础","申凤琴","西安理工大学","机械工业出版社",,"十一五","本科",
"机械制图","杨老记","邢台职业技术学院","机械工业出版社",,"十一五","本科",
"机械设计基础","胡家秀","浙江机电职业技术学院","机械工业出版社",,"十一五","本科",
"塑料膜具及数字化设计","曹宏深","郑州大学","机械工业出版社",,"十一五","本科",
"互换性与测量技术","黄云清","重庆工业职业技术学院","机械工业出版社",,"十一五","本科",
"机械制图与计算机绘图","彭晓兰","九江职业技术学院","江西高校出版社　",,"十一五","本科",
"机械制图与计算机绘图（立体化教材）","梁德平","成都航空职业技术学院","科学出版社",,"十一五","本科",
"数控加工工艺学","龚洪浪","湖北职业技术学院","科学出版社",,"十一五","本科",
"数控编程操作与加工","牛小铁","北京工业职业技术学院","煤炭工业出版社",,"十一五","本科",
"机械设计基础","何富贤","河南理工大学","煤炭工业出版社",,"十一五","本科",
"电子技术(下)","熊幸明","长沙学院","清华大学出版社",,"十一五","本科",
"模具制造技术基础","陈剑鹤","常州信息职业技术学院","清华大学出版社",,"十一五","本科",
"数控加工工艺与装备","李华志","成都电子机械高等专科学校","清华大学出版社",,"十一五","本科",
"AutoCAD2006模具设计技术基础","黄晓燕","成都电子机械高等专科学校","清华大学出版社",,"十一五","本科",
"机床电气控制及应用","王浩","广东机电职业技术学院","清华大学出版社",,"十一五","本科",
"电工技术(上)","曹才开","湖南工学院","清华大学出版社",,"十一五","本科",
"AutoCAD机械制图","钟波","湖南岳阳职业技术学院","清华大学出版社",,"十一五","本科",
"机械设计基础（第2版）","郭仁生","佛山职业技术学院","清华大学出版社",,"十一五","本科",
"数字电子技术","刘守义、钟苏","深圳职业技术学院","清华大学出版社",,"十一五","本科",
"电工电子技术","陈新龙","重庆大学","清华大学出版社",,"十一五","本科",
"UGNX项目实训教程","宋志国","常州信息职业技术学院","人民邮电出版社",,"十一五","本科",
"机械制图","王其昌","福建工程学院","人民邮电出版社",,"十一五","本科",
"数控原理与编程实训","周虹","湖南铁道职业技术学院","人民邮电出版社",,"十一五","本科",
"模具设计与制造","李奇","江西工业工程职业技术学院","人民邮电出版社",,"十一五","本科",
"PRO/ENGINEER应用培训教程","蔡冬根","江西机电职业技术学院","人民邮电出版社",,"十一五","本科",
"Mastercam9.0应用与实例教程","蔡冬根","江西机电职业技术学院","人民邮电出版社",,"十一五","本科",
"UnigraphicsNX3应用与实例教程","郑金","江西机电职业技术学院","人民邮电出版社",,"十一五","本科",
"模具CAD/CAM实践教程——UGNX3注塑模具设计与制造","朱光力","深圳职业技术学院","人民邮电出版社",,"十一五","本科",
"机械设备维修技术","吴先文","四川工程职业技术学院","人民邮电出版社",,"十一五","本科",
"数控机床故障分析与维修","潘海丽","上海第二工业大学","西安电子科技大学出版社",,"十一五","本科",
"金属工艺及安装工程实训指导丛书","刘守义","深圳职业技术学院","西安电子科技大学出版社",,"十一五","本科",
"模拟电子技术","李雅轩","天津职业大学","西安电子科技大学出版社",,"十一五","本科",
"电工电子技能实训指导（修订）","陈铁牛","昆明冶金高等专科学校","云南大学出版社",,"十一五","本科",
"机械制图","陈廉清","宁波工程学院","浙江大学出版社",,"十一五","本科",
"电机学","郭雨、王官升","山西雁北煤炭工业学校","中国矿业大学出版社",,"十一五","本科",
"机械设计基础","戚长政","广东轻工职业技术学院","中国劳动社会保障出版社",,"十一五","本科",
"数控加工技术","谢晓红","广东省技师学院","中国劳动社会保障出版社",,"十一五","本科",
"机械基础实训","南景富","黑龙江农业工程职业学院","中国农业出版社",,"十一五","本科",
"现代工程制图现代工程制图及习题集","山颖","黑龙江农业工程职业学院","中国农业出版社",,"十一五","本科",
"数控技术","鞠加彬","黑龙江农业工程职业学院","中国农业出版社",,"十一五","本科",
"机械制图","孙敬华","安徽水利水电职业技术学院","中国水利水电出版社",,"十一五","本科",
"电工电子技术基础（第2版）","李中发","湖南大学","中国水利水电出版社",,"十一五","本科",
"电工电子技术基础","李若英","成都电子机械高等专科学校","重庆大学出版社",,"十一五","本科",
"机械设计基础","万苏文","淮安信息职业技术学院","重庆大学出版社",,"十一五","本科",
"工程制图（习题集配套）","刘慧莉","昆明冶金高等专科学校","重庆大学出版社",,"十一五","本科",
"机械制造工艺装备","魏康民","陕西工业职业技术学院","重庆大学出版社",,"十一五","本科",
"机械设计课程设计","韩莉","太原大学","重庆大学出版社",,"十一五","本科",
"电机学","张小兰","重庆电力高等专科学校","重庆大学出版社",,"十一五","本科",
"传感器与自动检测技术","吴旗","常州轻工职业技术学院","高等教育出版社",,"十一五","本科",
"数控加工职业资格认证强化实训（数控电加工模块)","刘铁","成都航空职业技术学院","高等教育出版社",,"十一五","本科",
"单片机应用技术","张晔、王玉民","大庆职业学院","高等教育出版社",,"十一五","本科",
"单片机技术应用教程","胡长胜","河北工业职业技术学院","高等教育出版社",,"十一五","本科",
"电机与电气控制技术","赵承荻","湖南铁道职业技术学院","高等教育出版社",,"十一五","本科",
"自动控制原理及其应用(修订版)","黄坚","南京工程学院","高等教育出版社",,"十一五","本科",
"数字电子技术基础","周良权","上海理工大学","高等教育出版社",,"十一五","本科",
"微机控制技术(修订版)","杨宁","武汉化工学院","高等教育出版社",,"十一五","本科",
"计算机控制技术","王琦","辽宁石化职业技术学校","华东理工大学出版社",,"十一五","本科",
"过程控制技术","王爱广","河北化工医药职业技术学院","化学工业出版社",,"十一五","本科",
"计算机控制系统","马应魁","兰州石化职业技术学院","化学工业出版社",,"十一五","本科",
"自动控制原理(第2版)","王恩荣","南京师范大学","化学工业出版社",,"十一五","本科",
"单片机原理与接口技术案例教程","李法春","广东农工商职业技术学院","机械工业出版社",,"十一五","本科",
"电控发动机原理与检测技术","张葵葵","湖南交通职业技术学院","机械工业出版社",,"十一五","本科",
"自动控制原理","陈铁牛","昆明冶金高等专科学校","机械工业出版社",,"十一五","本科",
"电力电子技术","龙志文","昆明冶金高等专科学校","机械工业出版社",,"十一五","本科",
"工业控制网络技术","杨卫华","昆明冶金高等专科学校","机械工业出版社",,"十一五","本科",
"电工电子技术","王国伟","兰州师范高等专科学院","机械工业出版社",,"十一五","本科",
"典型自动控制设备应用与维护","宁秋平、鲍风雨","辽宁机电职业技术学院","机械工业出版社",,"十一五","本科",
"机械设备控制技术","王德发","辽宁机电职业技术学院","机械工业出版社",,"十一五","本科",
"集散控制系统与现场总线","张岳","辽宁科技学院","机械工业出版社",,"十一五","本科",
"交流调速系统","宋书中","洛阳工业高等专科学校","机械工业出版社",,"十一五","本科",
"自动机与自动线","丁加军","南京工业职业技术学院","机械工业出版社",,"十一五","本科",
"自动检测与转换技术（第2版）","梁森","上海电机学院","机械工业出版社",,"十一五","本科",
"自动控制原理与系统（第3版）","孔凡才","上海理工大学","机械工业出版社",,"十一五","本科",
"电气自动控制原理与系统（第2版）","陈渝光","重庆工学院","机械工业出版社",,"十一五","本科",
"自动化变速器保养与维修","赵计平","重庆工业职业技术学院","机械工业出版社",,"十一五","本科",
"控制系统数字仿真与监控组态软件应用","童启明","北京联合大学","科学出版社",,"十一五","本科",
"自动控制原理","李明富","成都航空职业技术学院","人民邮电出版社",,"十一五","本科",
"自动控制原理","尤小军","嘉兴学院","中国电力出版社",,"十一五","本科",
"自动控制理论","向贤兵","重庆电力高等专科学校","中国电力出版社",,"十一五","本科",
"机电控制技术","李成良","大连水产学院","中国农业出版社",,"十一五","本科",
"计算机控制与仿真技术（第2版）","杨立","北华航天工业学院","中国水利水电出版社",,"十一五","本科",
"工控组态软件","龙志文","昆明冶金高等专科学校","重庆大学出版社",,"十一五","本科",
"单片机接口技术","龚运新","无锡科技职业学院","北京师范大学出版社",,"十一五","本科",
"智能仪表技术","柳桂国","浙江工商职业技术学院","北京师范大学出版社",,"十一五","本科",
"电热电动器具原理与维修","张永生","安徽电子信息职业技术学院","电子工业出版社",,"十一五","本科",
"计算机控制技术","俞光昀","昆山登云科技职业学院","电子工业出版社",,"十一五","本科",
"组态控制技术","袁秀英","天津职业大学","电子工业出版社",,"十一五","本科",
"自动检测技术及应用","柳桂国","浙江工商职业技术学院","电子工业出版社",,"十一五","本科",
"微型计算机控制技术","曾庆波","黑龙江信息职业技术学院","电子科技大学出版社",,"十一五","本科",
"自动控制原理","王艳红","北京工业职业技术学院","高等教育出版社",,"十一五","本科",
"汽车检测诊断与维修","蒲永峰","广东轻工职业技术学院","北京交通大学出版社",,"十一五","本科",
"数控机床","袁锋","常州轻工职业技术学院","北京师范大学出版社",,"十一五","本科",
"电气控制与PLC技术及应用(欧姆龙机型)","程周","安徽职业技术学院实训中心","电子工业出版社",,"十一五","本科",
"数控技术专业英语","汤彩萍","常州机电职业技术学院","电子工业出版社",,"十一五","本科",
"汽车车身电气设备系统及附属电气设备","冀旺年","大庆职业学院","电子工业出版社",,"十一五","本科",
"汽车检测诊断技术与设备","仇雅莉","湖南交通职业技术学院","电子工业出版社",,"十一五","本科",
"汽车实用英语","粟利萍","湖南生物与机电工程职业技术学院","电子工业出版社",,"十一五","本科",
"电机与电气控制","刘子林","绵阳职业技术学院","电子工业出版社",,"十一五","本科",
"汽车典型电控系统的结构与维修","廖发良","陕西交通职业技术学院","电子工业出版社",,"十一五","本科",
"数控加工编程与操作","黄志辉","苏州工业园区职业技术学院","电子工业出版社",,"十一五","本科",
"数控机床故障诊断与维修","蒋建强","苏州经贸职业技术学院","电子工业出版社",,"十一五","本科",
"数控机床实训技术","王金城","天津工程师范学院","电子工业出版社",,"十一五","本科",
"汽车底盘构造与维修","金加龙","浙江交通职业技术学院","电子工业出版社",,"十一五","本科",
"汽车及配件营销","曹红兵","浙江师范大学","电子工业出版社",,"十一五","本科",
"微机数控技术及应用","李华志","成都电子机械高等专科学校","电子科技大学出版社",,"十一五","本科",
"数控机床加工工艺、编程及操作实训(第2版)","张超英、罗学科","北方工业大学","高等教育出版社",,"十一五","本科",
"机电设备故障诊断与维修","陈则钧、龚雯","北京机械局职工大学","高等教育出版社",,"十一五","本科",
"旧车鉴定及评估","韩建保","北京理工大学","高等教育出版社",,"十一五","本科",
"机电控制技术","陈瑞阳","北京联合大学","高等教育出版社",,"十一五","本科",
"液压与气动技术(第2版)","张雅芹","长春工程学院","高等教育出版社",,"十一五","本科",
"汽车电气设备与维修","李春明","长春汽车工业高等专科学校","高等教育出版社",,"十一五","本科",
"汽车维护保养实训","韩东","长春汽车工业高等专科学校","高等教育出版社",,"十一五","本科",
"汽车车身电气设备系统及附属电气设备","刘皓宇","承德石油高等专科学校","高等教育出版社",,"十一五","本科",
"汽车电工电子技术","刘皓宇","承德石油高等专科学校","高等教育出版社",,"十一五","本科",
"汽车概论","王世震","承德石油高等专科学校","高等教育出版社",,"十一五","本科",
"汽车机械基础","蔡广新","承德石油高等专科学校","高等教育出版社",,"十一五","本科",
"电气控制与可编程控制器模块化教材","张爱红","大庆职业技术学院","高等教育出版社",,"十一五","本科",
"汽车使用技术(第2版)","郎全栋","东北林业大学","高等教育出版社",,"十一五","本科",
"汽车文化","郎全栋、曹晓光","东北林业大学","高等教育出版社",,"十一五","本科",
"可编程控制器应用技术（修订版）","胡学林","淮阴工学院","高等教育出版社",,"十一五","本科",
"可编程序控制器应用技术","汤自春","江西九江职业技术学院","高等教育出版社",,"十一五","本科",
"机械加工设备与工装","韩洪涛","开封大学","高等教育出版社",,"十一五","本科",
"汽车自动变速器实训","张红伟","辽宁省交通高等专科学校","高等教育出版社",,"十一五","本科",
"汽车发动机构造与维修","张子波","内蒙古交通职业技术学院","高等教育出版社",,"十一五","本科",
"机床数控技术及应用(非数控技术专业)","李宏胜","南京工程学院","高等教育出版社",,"十一五","本科",
"汽车检测技术(第2版)","张建俊","山东交通学院","高等教育出版社",,"十一五","本科",
"汽车电控技术","陈志恒、胡宁","上海工程技术大学","高等教育出版社",,"十一五","本科",
"互换性与测量技术(修订版)","高晓康","上海应用技术学院","高等教育出版社",,"十一五","本科",
"可编程控制器技术教程（第2版）","吕景泉","天津中德职业技术学院","高等教育出版社",,"十一五","本科",
"汽车电器与电子控制技术","冯渊","无锡职业技术学院","高等教育出版社",,"十一五","本科",
"典型数控系统及应用","邹晔","无锡职业技术学院","高等教育出版社",,"十一五","本科",
"逆向工程综合技能实训教程","黄诚驹","武汉职业技术学院","高等教育出版社",,"十一五","本科",
"汽车电气设备原理与检修","尹万建","邢台职业技术学院","高等教育出版社",,"十一五","本科",
"可编程控制器原理及应用(第2版)","孙平","浙江水利水电高等专科学校","高等教育出版社",,"十一五","本科",
"汽车典型电控系统的结构与维修","王宪成","装甲兵工程学院","高等教育出版社",,"十一五","本科",
"数控机床及其应用","李业农","江苏南通职业大学","国防工业出版社",,"十一五","本科",
"电子设备结构与工艺","蔡建国","武汉职业技术学院","湖北科学技术出版社",,"十一五","本科",
"机组控制技术","王琦","辽宁石化职业技术学校","华东理工大学出版社",,"十一五","本科",
"现代汽车构造","王正健","广东交通职业技术学院","华南理工大学出版社",,"十一五","本科",
"数控车床职业技能鉴定强化实训教程","张伦玠等四人","广东技术师范学院","华中科技大学出版社",,"十一五","本科",
"数控铣床职业技能鉴定强化实训教程","徐伟、张伦玠","广东技术师范学院","华中科技大学出版社",,"十一五","本科",
"数控机床故障诊断与维修","郑小年、杨克冲","华中科技大学","华中科技大学出版社",,"十一五","本科",
"数控机床电气控制","陈吉红、杨克冲、郑小年","华中科技大学","华中科技大学出版社",,"十一五","本科",
"数控机床与编程实用教程","王平","广东工贸职业技术学院","化学工业出版社",,"十一五","本科",
"液压与气压传动","刘忠伟","湖南冶金职业技术学院","化学工业出版社",,"十一五","本科",
"可编程控制器应用技术(第2版)","张万忠","淮海工学院","化学工业出版社",,"十一五","本科",
"现代机床设备","顾京","无锡职业技术学院","化学工业出版社",,"十一五","本科",
"单片机原理及应用","张水利","山东水利职业学院","黄河水利出版社",,"十一五","本科",
"数控技术与应用","郑晓峰","安徽机电职业技术学院","机械工业出版社",,"十一五","本科",
"数控机床及其使用维修","郑晓峰、陈少艾","安徽机电职业技术学院、武汉船舶职业技术学校","机械工业出版社",,"十一五","本科",
"液压与气压传动","张福臣","包头钢铁职业技术学院","机械工业出版社",,"十一五","本科",
"汽车底盘电控技术","李春明","长春汽车工业高等专科学校","机械工业出版社",,"十一五","本科",
"PLC原理及应用","李长久","承德石油高等专科学校","机械工业出版社",,"十一五","本科",
"数控机床","张运吉","广东机电职业技术学院","机械工业出版社",,"十一五","本科",
"液压与气压传动（第2版）","屈圭","广东技术师范学院","机械工业出版社",,"十一五","本科",
"汽车机械基础","卢晓春","广东交通职业技术学院","机械工业出版社",,"十一五","本科",
"汽车应用材料","李明惠","广东交通职业技术学院","机械工业出版社",,"十一五","本科",
"液压与传动","张群生","广西机电职业技术学院","机械工业出版社",,"十一五","本科",
"电气控制与PLC应用","许翏、王淑英","河北机电职业技术学院","机械工业出版社",,"十一五","本科",
"变频器原理及应用","王廷才","河南工业职业技术学院","机械工业出版社",,"十一五","本科",
"机电设备控制基础","王本轶","河南工业职业技术学院","机械工业出版社",,"十一五","本科",
"汽车检测与诊断技术","董继明、罗灯明","河南职业技术学院、承德石油高等专科学校","机械工业出版社",,"十一五","本科",
"电机与电气控制（第2版）","刘利宏","淮安信息职业技术学院","机械工业出版社",,"十一五","本科",
"可编程序控制器","王成福","金华职业技术学院","机械工业出版社",,"十一五","本科",
"汽车发动机电控技术","张西振","辽宁交通高等专科学校","机械工业出版社",,"十一五","本科",
"汽车车身电控技术","毛峰","辽宁交通高等专科学校","机械工业出版社",,"十一五","本科",
"汽车机械基础","霍振生","内蒙古包头职业技术学院","机械工业出版社",,"十一五","本科",
"故障设备诊断与维修","丁加军","南京工业职业技术学院","机械工业出版社",,"十一五","本科",
"液压与气动","左健民","南阳工程学院","机械工业出版社",,"十一五","本科",
"电气控制与PLC","李向东","山西机电职业技术学院","机械工业出版社",,"十一五","本科",
"机电与数控专业英语","蒋忠理","上海建桥学院","机械工业出版社",,"十一五","本科",
"汽车构造与原理实训","蔡兴旺","韶关学院","机械工业出版社",,"十一五","本科",
"泵与风机","王寒栋","深圳职业技术学院","机械工业出版社",,"十一五","本科",
"现代汽车检测技术","曹家喆","深圳职业技术学院","机械工业出版社",,"十一五","本科",
"汽车检测与维修实训教程","黄文伟","深圳职业技术学院","机械工业出版社",,"十一五","本科",
"汽车电子控制基础","曹家喆","深圳职业技术学院","机械工业出版社",,"十一五","本科",
"数控机床及应用","张立仁","太原理工大学阳泉学院","机械工业出版社",,"十一五","本科",
"数控机床","郭永亮","天津机电职业技术学院","机械工业出版社",,"十一五","本科",
"SIMATIC可编程序控制器及应用","孙海维","天津中德职业技术学院","机械工业出版社",,"十一五","本科",
"汽车电工与电子技术基础","冯渊","无锡职业技术学院","机械工业出版社",,"十一五","本科",
"现代数控加工设备","周兰","武汉船舶职业技术学院","机械工业出版社",,"十一五","本科",
"PLC应用及其实例仿真","徐国林","烟台职业学院","机械工业出版社",,"十一五","本科",
"可编程控制器技术","刘敏","烟台职业学院","机械工业出版社",,"十一五","本科",
"机械设备维修工艺学","晏初宏","张家界航空职业技术学院","机械工业出版社",,"十一五","本科",
"压铸模与其他模具","范建蓓","浙江机电职业技术学院","机械工业出版社",,"十一五","本科",
"PLC基础及应用（第2版）","廖常初","重庆大学","机械工业出版社",,"十一五","本科",
"电控发动机的维修","李雷","重庆工业职业技术学院","机械工业出版社",,"十一五","本科",
"气动控制技术","孙兵","南通纺织职业技术学院","科学出版社",,"十一五","本科",
"可编程控制器（第2版）","黄云龙","浙江工业大学浙西分校","科学出版社",,"十一五","本科",
"可编程控制器原理与应用教程","孙振强","济南职业学院","清华大学出版社",,"十一五","本科",
"可编程序控制器应用系统设计及通信网络技术","郭宗仁","福州大学","人民邮电出版社",,"十一五","本科",
"数控机床操作工职业技能鉴定指导","周虹","湖南铁道职业技术学院","人民邮电出版社",,"十一五","本科",
"液压技术与应用","邱国庆","江西工业工程职业技术学院","人民邮电出版社",,"十一五","本科",
"PRO/E产品造型实例教程","诸小丽","南宁职业技术学院","人民邮电出版社",,"十一五","本科",
"液压与气动","朱梅","深圳职业技术学院","西安电子科技大学出版社",,"十一五","本科",
"可编程序控制器原理及应用","郁汉琪","南京工程学院","中国电力出版社",,"十一五","本科",
"液压与气动","陈立群","常州技师学院","中国劳动社会保障出版社",,"十一五","本科",
"汽车发动机构造与维修","粱勇","湖南生物与机电工程职业技术学院","中国农业出版社",,"十一五","本科",
"汽车美容","白长城","湖南生物与机电工程职业技术学院","中国农业出版社",,"十一五","本科",
"汽车底盘构造与维修","何效先","四川职业技术学院","中国农业出版社",,"十一五","本科",
"汽车检测与诊断","周翼翔","四川职业技术学院","中国农业出版社",,"十一五","本科",
"可编程控制器","李军","哈尔滨职业技术学院","中国轻工业出版社",,"十一五","本科",
"电气工程CAD","刘增良","河北工程技术高等专科学校","中国水利水电出版社",,"十一五","本科",
"车辆制动装置","张旺狮","山西大学","中国铁道出版社",,"十一五","本科",
"数控编程","曹凤","成都电子机械高等专科学校","重庆大学出版社",,"十一五","本科",
"数据结构","胡大威","武汉职业技术学院","中国电力出版社",,"十一五","本科",
"计算机网络技术基础","于锋","浙江水利水电专科学校","中国电力出版社",,"十一五","本科",
"数据库技术与SQLServer2005实用教程","岳国英","浙江水利水电专科学校","中国电力出版社",,"十一五","本科",
"单片机应用技术","马彪","辽宁信息职业技术学院","中国轻工业出版社",,"十一五","本科",
"SQLSERVER2005实用教程","李伟红","北华航天工业学院","中国水利水电出版社",,"十一五","本科",
"数据库技术及应用","陈刚","北华航天工业学院","中国水利水电出版社",,"十一五","本科",
"ASP程序设计教程（第2版）","张景峰","北华航天工业学院","中国水利水电出版社",,"十一五","本科",
"Java语言程序设计","贾振华","北华航天工业学院","中国水利水电出版社",,"十一五","本科",
"网页制作教程（第2版）","齐建玲","北华航天工业学院","中国水利水电出版社",,"十一五","本科",
"单片机原理与应用","胡辉","北华航天工业学院","中国水利水电出版社",,"十一五","本科",
"C语言程序设计教程(第2版)","徐新华","北京科技大学","中国水利水电出版社",,"十一五","本科",
"VisualC++实例教程（第2版）","杨国兴","北京科技大学","中国水利水电出版社",,"十一五","本科",
"VisualFoxPro数据库与程序设计(第2版)","刘淳","长沙民政学院","中国水利水电出版社",,"十一五","本科",
"计算机文化基础教程（第2版）","唐伟奇","长沙民政学院","中国水利水电出版社",,"十一五","本科",
"数据结构（C语言版）","马秋菊","承德石油高等专科学校","中国水利水电出版社",,"十一五","本科",
"微型计算机原理及应用（第2版）","何超","广东白云学院","中国水利水电出版社",,"十一五","本科",
"计算机电路基础（第2版）","何超","广东白云学院","中国水利水电出版社",,"十一五","本科",
"计算机导论（第2版）","田原","湖北荆门职业技术学院","中国水利水电出版社",,"十一五","本科",
"计算机网络安全技术（第2版）","蔡立军","湖南大学","中国水利水电出版社",,"十一五","本科",
"网页设计与制作","丁爱萍","黄河水利职业技术学院","中国水利水电出版社",,"十一五","本科",
"Web数据库技术","高晗","辽宁省交通高等专科学校","中国水利水电出版社",,"十一五","本科",
"网络综合布线技术（第2版）","岳经伟","辽宁省交通高等专科学校","中国水利水电出版社",,"十一五","本科",
"网络安全与管理（第2版）","戚文静","山东建筑工程学院","中国水利水电出版社",,"十一五","本科",
"数据库原理与应用","仝春灵、沈祥玖","山东交通学院","中国水利水电出版社",,"十一五","本科",
"数据库原理与应用","王立","天津轻工职业技术学院","中国水利水电出版社",,"十一五","本科",
"数据库技术----Access及其应用系统设计","李禹生","武汉工业学院","中国水利水电出版社",,"十一五","本科",
"数据结构（C语言描述）（第2版）","王路群","武汉软件职业学院","中国水利水电出版社",,"十一五","本科",
"微机组装与维护实训教程","唐秋宇","保定职业技术学院","中国铁道出版社",,"十一五","本科",
"中文Flash8案例教程","张士元","北京电子科技学院","中国铁道出版社",,"十一五","本科",
"三维动画设计实训教程","邵丽萍","北京交通大学","中国铁道出版社",,"十一五","本科",
"中文VisualBasic6程序设计案例教程","刘彩虹","北京联合大学","中国铁道出版社",,"十一五","本科",
"VisualBasic.NET程序设计案例教程","张恩祥","北京联合大学","中国铁道出版社",,"十一五","本科",
"ASP.NET语言程序设计案例教程","魏雪英","北京联合大学","中国铁道出版社",,"十一五","本科",
"三维动画设计与制作","沈洪","北京联合大学","中国铁道出版社",,"十一五","本科",
"多媒体技术与应用教程","沈大林","北京信息职业技术学院","中国铁道出版社",,"十一五","本科",
"Linux基础及应用","谢蓉","上海建桥职业技术学院","中国铁道出版社",,"十一五","本科",
"计算机安全技术","宋红","太原理工大学","中国铁道出版社",,"十一五","本科",
