"book_name","editor","org_name","publisher","publish_date","period","edu_level","category"
"广告策划","纪华强","厦门大学","高等教育出版社",,"十五","本科",
"广播电视广告原理","姚力","吉林大学","高等教育出版社",,"十五","本科",
"广告经营与管理","张金海","武汉大学","高等教育出版社",,"十五","本科",
"汉语史语料学","高小方","南京大学","高等教育出版社",,"十五","本科",
"汉语音韵学通论","李无未","吉林大学","高等教育出版社",,"十五","本科",
"护理中的人际沟通学","李小寒","中国医科大学","高等教育出版社",,"十五","本科",
"华夏人文概览","章必功","深圳大学","高等教育出版社",,"十五","本科",
"化学化工专业英语","赵元","承德石油高等专科学校","高等教育出版社",,"十五","本科",
"化学原理","姚天扬","南京大学","高等教育出版社",,"十五","本科",
"机械设计（第八版）","濮良贵、陈国定","西北工业大学","高等教育出版社",,"十五","本科",
"机械原理（第2版）","王知行","哈尔滨工业大学","高等教育出版社",,"十五","本科",
"机械原理（第2版）","邹慧君","上海交通大学","高等教育出版社",,"十五","本科",
"机械原理（第七版）","陈作模、葛文杰","西北工业大学","高等教育出版社",,"十五","本科",
"基础化学实验（上、中、下册）","徐家宁","吉林大学","高等教育出版社",,"十五","本科",
"基础物理学教程","陆果","北京大学","高等教育出版社",,"十五","本科",
"基因工程","孙明","华中农业大学","高等教育出版社",,"十五","本科",
"基于web的材料力学CAI课件","张大成","西北工业大学","高等教育出版社",,"十五","本科",
"计算化学","张常群","北京化工大学","高等教育出版社",,"十五","本科",
"计算机绘图（配光盘）","刘静华","北京航空航天大学","高等教育出版社",,"十五","本科",
"简明世界广告史","姚曦","武汉大学","高等教育出版社",,"十五","本科",
"简明英语测试教程（第2版）","邹申","上海外国语大学","高等教育出版社",,"十五","本科",
"近代光学基础","谢建平、明海","中国科学技术大学","高等教育出版社",,"十五","本科",
"近代物理实验","吴思诚","北京大学","高等教育出版社",,"十五","本科",
"经典力学","李德明","山西大学","高等教育出版社",,"十五","本科",
"离散数学","张忠志","湖南计算机高等专科学校","高等教育出版社",,"十五","本科",
"理论力学多媒体教学软件（静力学篇、运动学篇、动力学篇）","支希哲","西北工业大学","高等教育出版社",,"十五","本科",
"马克思主义哲学经典文本导读(上、下卷）","余源培、吴晓明","复旦大学","高等教育出版社",,"十五","本科",
"美术鉴赏第2版","张道一","东南大学","高等教育出版社",,"十五","本科",
"民间文学教程","段宝林","北京大学","高等教育出版社",,"十五","本科",
"模拟电子技术基础（第4版）","华成英","清华大学","高等教育出版社",,"十五","本科",
"农业概论（第2版）","翟虎渠","南京农业大学","高等教育出版社",,"十五","本科",
"普通遗传学（第2版）","杨业华","华中农业大学","高等教育出版社",,"十五","本科",
"清洁生产","张天柱","清华大学","高等教育出版社",,"十五","本科",
"区域分析与区域规划（第2版）","崔功豪","南京大学","高等教育出版社",,"十五","本科",
"人机工程学","赵江洪","湖南大学","高等教育出版社",,"十五","本科",
"人文地理学（第2版）","赵荣","西北大学","高等教育出版社",,"十五","本科",
"日语学概论","翟东娜","北京师范大学","高等教育出版社",,"十五","本科",
"商务英语听说(下)（附MP3)","陈准民","对外经济贸易大学",,,"十五","本科",
"金融英语阅读","沈素萍","对外经济贸易大学",,,"十五","本科",
"社会工作概论（第2版）","王思斌","北京大学","高等教育出版社",,"十五","本科",
"社交礼仪","李兴国","北京联合大学","高等教育出版社",,"十五","本科",
"实验管理学","万迪？P","西安交通大学","高等教育出版社",,"十五","本科",
"实验园艺学","韩振海","中国农业大学","高等教育出版社",,"十五","本科",
"史学概论","庞卓恒","天津师范大学","高等教育出版社",,"十五","本科",
"世界史（四卷本）","齐世荣","首都师范大学","高等教育出版社",,"十五","本科",
"视觉传达设计","余永海、周旭","浙江工业大学","高等教育出版社",,"十五","本科",
"数据结构与算法","刘？Z","南开大学","高等教育出版社",,"十五","本科",
"数据库系统概论（第4版）","王珊、萨师煊","中国人民大学","高等教育出版社",,"十五","本科",
"数据库原理与应用","孙建伶","浙江大学","高等教育出版社",,"十五","本科",
